code,obs,N,K,prob,avg,sd
286940,13,8,0.5,0.769230769230769,0.016774880513711,0.0253135699154987
008350,12,8,0.8,0.583333333333333,0.0436037934951239,0.085458364943992
015350,13,11,1.6,0.846153846153846,0.00681916410651818,0.00928206903720943
003470,24,3,0.9,0.583333333333333,0.00469484678662528,0.0189943297105664
018250,19,4,0.5,0.789473684210526,0.0150332459027667,0.0187073185260858
002350,39,4,0.8,0.615384615384615,0.00556150632312516,0.0231752318096354
251340,11,11,0.9,0.636363636363636,0.000746127971602077,0.0230474129202745
042700,14,9,1.1,0.642857142857143,0.0155165343682203,0.0298721797092318
000070,11,7,1.6,0.818181818181818,0.0173465627148243,0.0285677057860605
001630,11,8,1.7,0.727272727272727,0.0050020772136875,0.0252310068850313
001880,11,15,1.1,0.727272727272727,0.00943654183136628,0.0271748398039431
024720,11,6,0.7,0.636363636363636,0.00247643506974769,0.0287829305434329
003070,17,7,1.1,0.588235294117647,0.00740513345487822,0.0371771256320667
009970,15,7,1.4,0.733333333333333,0.0051645424163515,0.0199670465678785
002320,11,15,1.6,0.636363636363636,0.00924547394501684,0.0550984869110938
025540,11,7,1.6,0.909090909090909,0.0171460037921511,0.0170581558329539
000400,16,4,1.1,0.5625,0.000535844986562784,0.0305397366166483
082640,12,10,0.9,0.75,0.0115403714853271,0.0269967547048201
133690,12,15,1.5,0.916666666666667,0.00318703764293771,0.00380326661833427
002840,12,21,2,0.75,0.00628660607637614,0.0158463274967501
268280,26,7,0.9,0.730769230769231,0.00678278509384417,0.0186838689490459
123890,13,13,1.5,0.615384615384615,0.000896979367752033,0.0119130767967943
017960,18,5,1.2,0.611111111111111,0.000958047563749472,0.0175484715164216
000815,13,13,0.7,0.846153846153846,0.00817429910787946,0.00986296326151639
006390,11,4,0.5,0.727272727272727,0.0116789763778258,0.034709802139513
006060,11,22,1.4,0.818181818181818,0.0101450597637969,0.0184615113911872
229200,17,6,0.7,0.588235294117647,0.00259982438259097,0.0187405455004346
214330,19,3,1,0.631578947368421,-0.00965537426005994,0.078279240464122
138250,20,9,1.5,0.6,0.0217880521992391,0.0561937802068795
001720,12,16,1.7,0.666666666666667,-0.00019433583728364,0.00785259570455422
226490,13,3,1,0.846153846153846,0.00546568637812055,0.00498064516267949
030610,18,8,1.2,0.666666666666667,0.00407243207068407,0.0145549374449761
102460,17,6,0.6,0.647058823529412,0.000462766657597121,0.0545947597611125
003220,12,9,1.3,0.583333333333333,-0.000539638198354601,0.0262094533595624
251350,13,10,0.6,0.846153846153846,0.00426027383561849,0.00422201862554533
036420,21,3,0.9,0.571428571428571,-0.000765979708207015,0.0232282434563566
006405,15,6,1.4,0.6,0.0177661910060286,0.0559697915686481
025860,12,7,0.5,0.583333333333333,-0.00429183413558398,0.024814920567725
014830,12,13,0.6,0.75,0.0128910658079923,0.0143677693869016
005500,14,4,1.2,0.785714285714286,0.00825571364137558,0.0103585468349174
093050,15,7,1.5,0.6,0.00934274008952656,0.017970280560716
096760,11,14,1.7,0.636363636363636,0.00675763363914344,0.0108941513148542
126560,12,15,0.7,0.666666666666667,0.00259277217840781,0.0205606711398949
004490,11,12,1.4,0.727272727272727,0.0087027987976351,0.027351290150497
000140,11,19,1.8,0.727272727272727,0.00388559126921286,0.0409295155416716
027410,24,6,1.1,0.625,0.00518256225462717,0.0188888010030631
293480,13,3,1,0.615384615384615,0.00584966843922625,0.0165590996024703
009410,13,15,1.3,0.692307692307692,0.00806803911476915,0.0395633381588174
037270,11,6,0.5,0.636363636363636,0.0165585009427788,0.0401102798318011
305540,12,6,0.8,0.583333333333333,0.00622896030297089,0.0208690093000226
003530,15,7,1.3,0.533333333333333,-0.00356179772477585,0.0249341955966218
094800,18,26,0.9,0.944444444444444,0.0076721144490192,0.00562418039678187
084690,14,9,1.2,0.642857142857143,0.00058713741732852,0.0385378627424792
019175,20,3,1,0.6,0.0152081751633403,0.1229625888989
017390,29,5,0.8,0.758620689655172,0.00692321084399051,0.0159185630266998
004430,13,10,1.4,0.692307692307692,0.00518048322443604,0.0229428527292834
071055,12,17,2,0.75,0.00700129644384869,0.02349434669791
075580,26,6,1,0.538461538461538,0.000367173831426234,0.0255241269348875
001430,16,10,0.5,0.75,0.00870659326440293,0.0778487963600448
293940,17,4,1.2,0.823529411764706,0.00755175971762407,0.0100924035063762
079430,11,15,1.3,0.818181818181818,0.0165099110425919,0.0386006461818032
072710,12,23,1.6,0.75,0.00423139854336381,0.0172365170676502
002270,12,7,0.6,0.75,0.0153677178696703,0.0304115476764607
294400,11,9,0.9,0.727272727272727,0.00101734402606724,0.0150360138774855
088260,11,16,1.8,0.727272727272727,0.00686265368279025,0.0108728177920374
010050,18,5,0.8,0.777777777777778,0.0128499408835476,0.0302311731996766
